Ingredients,Rate,Category,Information
silk,GOOD,Antioxidants,none
silk powder,GOOD,Absorbent,Synthetically derived powder used as an absorbent and slip agent.
silk protein,GOOD,Antioxidants,"Protein substance (also called sericin) formed by converting silk, which is the soft, lustrous thread obtained from the cocoon of the silkworm. Silk protein can have water-binding properties for skin. However, whether the protein applied to skin is derived from animals or plants, the skin can’t tell the difference. There is a small amount of research showing silk protein may have topical antioxidant properties (Source: Bioscience, Biotechnology, and Biochemistry, January 1998, pages 145–147)."
siloxane,GOOD,Silicones,none
silt,GOOD,Absorbent,A sediment obtained from various bodies of water. Silt’s absorbent nature helps it function to absorb excess surface oil. Most types of silt contain a small amount (12% or less) or natural clay.
silver,POOR,Sensitizing,"Metallic element that in cosmetics can have disinfecting properties; however, prolonged contact can turn skin grayish blue. Silver can be sensitizing to skin, and can cause silver toxicity.
References for this information:
Annals of Dermatology and Venereology, February 2002, pages 217–219
Critical Reviews in Toxicology, May 1996, pages 255–260"
silver chloride,AVERAGE,Sensitizing,An inorganic salt that has no known function in cosmetics.
silver tip white tea leaf extract,BEST,Skin-Soothing,none
Silybum marianum extract,BEST,Plant Extracts,none
simethicone,GOOD,Silicones,"Mixture of dimethicone with silica; related to silicones, but used as an antifoaming agent."
Simmondsia chinensis,BEST,Plant Extracts,none
skin-replenishing ingredients,BEST,Skin-Replenishing,"These are skincare ingredients that help enrich skin's surface, drenching it with revitalizing hydration and keeping it there. Doing so helps keep skin looking and feeling soft, smooth, and supple—especially skin that's persistently dry, tight, and uncomfortable.

Daily application of skin-replenishing ingredients keeps skin safeguarded from environmental factors that lead to moisture loss and dehydration, and help skin appear younger, more vibrant, and replenished!

There are numerous skin-replenishing ingredients to consider, some of which are naturally present in skin, including hyaluronic acid, ceramides, sodium PCA, glycerin, glycerol, cholesterol, and phospholipids.

Other examples of research-proven skin-replenishing ingredients are silicones, petrolatum, triglycerides, omega fatty acids, and exfoliating ingredients like alpha hydroxy acids (AHAs like glycolic acid) and beta hydroxy acid (BHA, salicylic acid).
References for this information:
Journal of the American Academy of Dermatology, July 2014, pages 177-184
Dermatoendocrinology, July 2012, pages 253-258
Dermatologic Therapy, May-June 2012, pages 229-233  and Volume 17, Supplemental, 2004, pages 49-56
British Journal of Dermatology, September 2008, pages 567-577
Journal of Investigative Dermatology, August 2003, pages 231-241
Der Hautarzt, January 1998, pages 6-9"
skin-restoring ingredients,BEST,Antioxidants,"Skincare ingredients that nourish skin’s surface in a way that helps transform it on many levels to appear noticeably younger, with a renewed feeling of firmness, and a more even-looking complexion. With ongoing use, these ingredients also help improve dull skin tone and rough texture, plus soften the appearance of fine lines and wrinkles—including deep wrinkles. Well-researched examples of skin-restoring ingredients include retinol, niacinamide, peptides, linoleic and linolenic acids, epigallocatechin-3-gallate (found in green tea), and adenosine.
References for this information:
Aging Research Reviews, January 2015, pages 8-21
British Journal of Dermatology, March 2010, pages 647-654
Dermatologic Therapy, September-October 2007, pages 343-349
Archives of Dermatology, May 2007, pages 605-612
International Journal of Cosmetic Science, December 2006, pages 343-349
Dermatologic Surgery, July 2005, pages 860-865
International Journal of Cosmetic Science, May 2004, pages 231-238"
skullcap extract,GOOD,Skin-Soothing,"Herbal extract from Scutellaria baicalensis that has antioxidant and soothing properties for skin.
Reference for this information:
Life Sciences, January 2002, pages 1023–1033"
slip agent,GOOD,Slip Agents,"Term used to describe a range of ingredients that help other ingredients spread over skin and penetrate into it. Slip agents also have humectant properties. Slip agents include butylene glycol, glycerin, polysorbates, and propylene glycol, to name a few. They are as basic to the world of skincare as water."
slippery elm bark,GOOD,Skin-Soothing,"Plant that can be a good skin-soothing agent but can also be an allergen if used in high amounts.
Reference for this information:
The Review of Natural Products by Facts and Comparisons. St. Louis, MO: Wolters Kluwer Co., 1999
PDR for Herbal Medicines. 1st ed. Montvale, NJ: Medical Economics Company, Inc., 1998"
soap,POOR,Cleansing Agents,"True “soaps” are regulated by the Consumer Product Safety Commission and are not required to list their ingredients on the label. They are made up solely of fats and alkali. Many bar cleansers are not soaps, but contain synthetic detergent cleansing agents and various thickening agents that keep the bar in its bar form.
Most soaps are considered very drying due to their alkaline base (i.e., a pH over 8). Bar cleansers can be gentler than bar soaps, but are more often than not still drying, depending on their composition.
References for this information:
Cutis, December 2001, pages 12–19
Archives of Dermatologic Research, June 2001, pages 308–318
Dermatologic Clinics, October 2000, pages 561–575"
soapberry extract,GOOD,Skin-Soothing,Extract from the tree Sapindus saponaria. The berries contain a good amount of saponins.
soapwort,GOOD,Plant Extracts,"Plant from which is derived an extract with detergent cleansing properties.
Reference for this information:
Biochemical and Biophysical Research Communications, May 1997, pages 129–132"
sodium acetate,GOOD,Uncategorized,"The sodium salt derived from acetic acid, it serves as a buffering agent when used in small amounts.  "
sodium acrylate/acryloydimethyl taurate copolymer,GOOD,Thickeners/Emulsifiers,Synthetic polymer used as a stabilizing and suspending agent and as a thickening agent.
sodium ascorbate,BEST,Antioxidants,none
sodium ascorbyl phosphate,BEST,Skin-Soothing,"Sodium ascorbyl phosphate is a stable, water-soluble form of vitamin C that functions as an antioxidant and is potentially effective for brightening an uneven skin tone. 
There is also research showing amounts of 1% and 5% concentrations of sodium ascorbyl phosphate can influence factors linked to breakouts. Thus, this form of vitamin C may be an effective adjunct to anti-acne products that contain benzoyl peroxide and salicylic acid.
References for this information:
Drug Research, October 2016, ePublication
Journal of Photochemistry and Photobiology, August 2009, pages 130-135
International Journal of Cosmetic Science, December 2008, pages 453-458
International Journal of Cosmetic Science, June 2005, pages 171-176"
sodium benzoate,GOOD,Preservatives,"Salt of benzoic acid used as a preservative in both cosmetics and food products. The U.S. Food and Drug Administration (FDA) has designated it a “generally recognized as safe” ingredient.
Reference for this information:
U.S. Food and Drug Administration CFF – Code of Federal Regulations Title 21"
sodium bicarbonate,GOOD,Miscellaneous,"A synthetic inorganic salt more commonly known as baking soda. It has many functions in cosmetics, including pH adjuster, buffering agent, and abrasive, such as in face or body scrubs. When used in small amounts to adjust and maintain the pH of cosmetic products, baking soda is not a problem for skin; however, when used among the main ingredient in scrub products, it’s simply too abrasive and an ingredient we don’t recommend. The rating for this ingredient pertains to its benefit as a pH adjuster and buffering agent.
References for this information:
Journal of the American Academy of Dermatology, May 2010, pages 885-886
https://pubchem.ncbi.nlm.nih.gov/compound/sodium_bicarbonate"
sodium bisulfite,AVERAGE,Sensitizing,"Used in acid-type permanent waves to alter the shape of hair. It is less damaging than alkaline permanent waves, but also has limitations regarding how much change it can effect in hair. It can be a skin sensitizer."
sodium borate,POOR,Sensitizing,none
sodium C14-16 olefin sulfonate,POOR,Cleansing Agents,"Used primarily as a detergent cleansing agent, but is potentially drying and can aggravate skin. Can be derived from coconut. It’s tricky to include in formulas due to stability issues, but it does produce copious foam.
Reference for this information:
International Journal of Toxicology, October 1998, issue 5, pages 39-65"
sodium carbomer,GOOD,Film-Forming/Holding Agents,A blend of sodium (salt) and carbomer that functions as a stabilizer and film-forming agent.
sodium carbonate,POOR,Absorbent,Absorbent salt used in cosmetics; it can also be a skin sensitizer.
sodium carboxymethyl beta-glucan,GOOD,Thickeners/Emulsifiers,"A carbohydrate ingredient with a gel-like texture, it functions as a binding agent and texture enhancer."
sodium cetearyl sulfate,GOOD,Cleansing Agents,A mixture of stearyl and cetyl sulfate that funtions as a surfactant.
sodium chloride,GOOD,Scrub Agents,"More popularly known as common table salt. Used primarily as a binding agent in skincare products and occasionally as an abrasive in scrub products. 
Perhaps the most common use of sodium chloride in cosmetics is as a thickening agent. Salt is commonly used to thicken the water (also known as aqueous) phase of shampoos, body washes, and non-soap facial cleansers. It’s an inexpensive and highly effective, versatile ingredient included in numerous types of cosmetics. 
Reference for this information:
http://www.cosmeticsinfo.org/ingredient/sodium-chloride-0"
sodium chondroitin sulfate,BEST,Skin-Replenishing,"Derived from natural mucopolysaccharides, it functions as a skin-softening agent."
sodium citrate,GOOD,Antioxidants,"Used primarily to control the pH level of a product, this ingredient also has antioxidant and preservative properties."
sodium cocoamphoacetate,GOOD,Cleansing Agents,Gentle cleansing agent derived from coconut fatty acids. It functions as a cleansing agent and can also have mild conditioning properties. It has a slight tendency to foam during use.
sodium cocoate,POOR,Cleansing Agents,Cleansing agent used primarily in soaps and bar cleansers. It can be drying and sensitizing for skin.
sodium cocoyl amino acids,GOOD,Cleansing Agents,The salt form of amino acids hydrolyzed from coconut. In cosmetics they are used as a mild surfactant.
sodium cocoyl glutamate,GOOD,Cleansing Agents,"Cleansing agent derived from coconut oil. This ingredient is also used to help soften (remove excess minerals from) hard water.
Reference for this information:
Dermatitis, September-October 2010, pages 262-268"
sodium cocoyl isethionate,GOOD,Cleansing Agents,"Derived from coconut, a mild detergent cleansing agent and the chief ingredient in non-soap Dove Beauty Bar."
sodium dehydroacetate,GOOD,Preservatives,Organic salt used as a preservative.
sodium dilauramidoglutamide lysine,GOOD,Emulsifiers,"A plant-derived ingredient that helps rejuvenate skin and hair while also functioning as an emulsifier in cosmetic formulas. Emulsifiers are ingredients that keep unlike substances (such as oil and water) from separating. Only low levels of this ingredient are needed for efficacy, which is great because some people are sensitive to emulsifiers."
sodium hexametaphosphate,GOOD,Thickeners/Emulsifiers,"Salt with multiple functions in cosmetics. It can act as a detergent, an emulsifier, a texturizer, and a preservative that prevents metallic compounds from negatively affecting a product."
sodium hyaluronate,BEST,Skin-Replenishing,"Salt form of skin-replenishing ingredient hyaluronic acid; considered more effective for skin than pure hyaluronic acid due to its greater compatibility.
References for this information:

Journal of Cosmetic Dermatology, July 2014, pages 277-287
Journal of Clinical and Aesthetic Dermatology, October 2012, pages 20-23
DermatoEndocrinology, July-December 2012, pages 253-258
Journal of Drugs in Dermatology, September 2011, pages 990-1000"
sodium hyaluronate crosspolymer,BEST,Skin-Replenishing,"A modified form of skin-replenishing hyaluronic acid attached to a polymer structure that keeps it within skin’s uppermost layers longer, allowing for enhanced hydration. Sodium hyaluronate crosspolymer is not animal-derived.
References for this information:

Journal of Cosmetic Dermatology, July 2014, pages 277-287
Journal of Clinical and Aesthetic Dermatology, October 2012, pages 20-23
DermatoEndocrinology, July-December 2012, pages 253-258
Journal of Drugs in Dermatology, September 2011, pages 990-1000"
sodium hydroxide,AVERAGE,Cleansing Agents,"Also known as lye, sodium hydroxide is a highly alkaline ingredient used in small amounts in cosmetics to establish and hold the pH of a product.
It’s also used as a cleansing and denaturing agent. In high concentrations, it’s a significant skin sensitizer.
References for this information:
Acta dermato-venereologica, March 1995, pages 97-101
http://www.cosmeticsinfo.org/ingredient/sodium-hydroxide"
sodium hydroxymethylglycinate,GOOD,Preservatives,"Derived from amino acids and used as a skin-softening and hair-conditioning agent, and to a lesser extent as a preservative."
sodium lactate,GOOD,Miscellaneous,Sodium salt of lactic acid. Used primarily as a hydrating and buffering agent (to adjust a product’s pH value).
sodium lactobionate,AVERAGE,Preservatives,"The salt of lactobionic acid, this ingredient is a white, crystalline powder used to synthesize other chemicals. May function as a preservative in skincare products. There is no research proving this ingredient exfoliates skin."
sodium laureth-13 carboxylate,GOOD,Cleansing Agents,An ingredient used primarily as a detergent cleansing agent. 
sodium laureth sulfate,GOOD,Cleansing Agents,"Used primarily as a detergent cleansing agent. Can be derived from coconut. It’s considered gentle and effective as typically used in cosmetics products (typically facial or body cleansers and shampoos). Despite the name similarity, sodium laureth sulfate is NOT the same as sodium lauryl sulfate. The former is a milder cleansing agent due to a higher amount and different chemical structure of the fatty alcohols required to manufacture this cleansing agent. The safety of sodium laureth sulfate has been reviewed by numerous industry experts and deemed safe as used.
References for this information:
International Journal of Toxicology, July 2010, pages 151S-161S
Contact Dermatitis, January 2003, issue 1, pages 26-32
Food and Chemical Toxicology, March 2001, pages 279-286"
sodium lauroamphoacetate,GOOD,Cleansing Agents,Mild surfactant (cleansing agent) also used as a lather agent.
sodium lauroyl lactylate,GOOD,Thickeners/Emulsifiers,"Used as an emulsifier and mild thickening agent in cosmetics. In higher concentrations, it functions as a surfactant."
sodium lauroyl sarcosinate,GOOD,Cleansing Agents,Surfactant known (and used) for its foam-boosting properties.
sodium lauryl glucose carboxylate,GOOD,Cleansing Agents,A gentle cleansing agent that may be derived from coconut or made synthetically.
sodium lauryl sulfate,POOR,Thickeners/Emulsifiers,"Versatile ingredient composed of several non-volatile alcohols. Functions primarily as a surfactant, but can also be used as a skin-conditioning agent, emulsifier, and solvent. 
Sodium lauryl sulfate (SLS) is one of the most sensitizing cleansing agents used in skincare products. In fact, it’s considered a standard comparison substance for measuring the skin sensitization of other ingredients. In fact, in scientific studies, when the researchers want to establish whether or not an ingredient is problematic for skin, they compare its effect to that of SLS.
In amounts of 2% to 5%, sodium lauryl sulfate can cause sensitizing reactions for many people. Despite the sensitivity issue, it is not the same as the dire and erroneous warnings floating around the web about this ingredient, all of which have been debunked. Sodium lauryl sulfate isn’t a great ingredient in terms of its impact on skin, but its effects are not detrimental to one’s health.
References for this information:
Journal of Clinical & Experimental Dermatology Research, November 2014, ePublication
British Journal of Dermatology, July 2014, pages 115-123
International Journal of Toxicology, July 2010, pages S151-S161
Contact Dermatitis, January 2003, pages 26-32
European Journal of Dermatology, September-October 2001, pages 416-419
American Journal of Contact Dermatitis, May 2001, pages 28-32"
sodium metabisulfite,AVERAGE,Antioxidants,"Reducing agent that alters the structure of hair. It can also be used as a preservative in formulations, and can be a skin sensitizer. However, it can also be an antioxidant.
Reference for this information:
Journal of Pharmaceutical Science and Technology, September–October 1999, pages 252–259"
sodium methyl cocoyl taurate,GOOD,Cleansing Agents,Mild surfactant derived from coconut; often used in cleansers when the desired effect is a creamy foam.
sodium methyl taurate,GOOD,Cleansing Agents,Mild surfactant often combined with other cleansing agents.
sodium myreth sulfate,GOOD,Cleansing Agents,"Detergent cleansing agent similar to sodium laureth sulfate or ammonium laureth sulfate. It is used most often in shampoos and sometimes in facial or body cleansers. Along with many other cleansing agent, sodium myreth sulfate has been thoroughly evaluated and deemed safe as used in the amounts commonly found in cosmetic products. This cleansing agent is not known to be milder or safer for hair than lots of other cleansing agents."
sodium palmate,POOR,Cleansing Agents,"Soap ingredient created by the salts of acids derived from palm oil. May be naturally derived or synthetic. As a soap ingredient, it can be drying and is typically formulated at an alkaline pH."
sodium palm kernelate,POOR,Cleansing Agents,none
sodium PCA,BEST,Skin-Replenishing,"Natural component of skin, PCA (pyrrolidone carboxylic acid) is also a very good hydrating agent. Sodium PCA also functions as a skin-replenishing ingredient.
References for this information:
Journal of Drugs in Dermatology, September 2014, pages 1,108-1,111
Bio-Medical Materials and Engineering, 1995, pages 9-20"
sodium PEG-7 olive oil carboxylate,GOOD,Cleansing Agents,A mild surfactant formed by reacting fatty acids from olive oil esters from polyethylene glycol (PEG).
sodium phytate,GOOD,Miscellaneous,"The salt form of the corn-derived plant component phytic acid, modified to become a synthetic ingredient and used as a chelating agent in cosmetics. "
sodium polyacrylate,GOOD,Thickeners/Emulsifiers,"Versatile, synthetic polymer used as a film-forming agent, stabilizer, absorbent, thickening agent, and emollient."
sodium salicylate,AVERAGE,Miscellaneous,"Salt form of salicylic acid (BHA). Because it is not the acid form of salicylate (i.e., salicylic acid), it does not have exfoliating properties."
sodium silicate,POOR,Sensitizing,"Highly alkaline and potentially sensitizing mineral used in cosmetics.
References for this information:
International Journal of Toxicology, 2005, Volume 24, Supplement, pages 103-117
American Journal of Contact Dermatitis, September 2002, pages 133–139"
sodium stearoyl lactylate,GOOD,Emulsifiers,"A synthetic or animal-derived ingredient (Paula’s Choice Skincare uses the former) that stabilizes the water phase of moisturizers and other skincare products that contain hydrating ingredients. Sodium stearoyl lactylate works via its interaction with proteins and starches, where it can also help modify a product’s texture.
It can also function as a surfactant. 
Reference for this information: 
Journal of Colloid and Interface Science, December 2016, pages 393-404"
sodium sulfite,AVERAGE,Preservatives,"Reducing agent that alters the structure of hair. It can also be used as a preservative in cosmetic formulations, and can be a skin sensitizer."
sodium tallowate,POOR,Miscellaneous,Sodium salt of tallow.
sodium thioglycolate,POOR,Sensitizing,"A synthetic ingredinet that functions as a reducing agent in cosmetics, most typically hair-removal lotions (depilatories). It can be sensitizing if left on skin for prolonged periods."
sodium trideceth sulfate,GOOD,Cleansing Agents,none
Solanum lycopersicum extract,AVERAGE,Antioxidants,none
Solanum tuberosum extract,GOOD,Thickeners/Emulsifiers,Extract that is more commonly known as potato starch. Used as a thickening agent and texture enhancer in cosmetics.
solvent,GOOD,Miscellaneous,"Large group of liquid ingredients, including water, that are used to dissolve or break down other ingredients, such as gases or solids, to form a solution."
Sonojell,GOOD,Skin-Soothing,Trade name for petrolatum.
soothing agent,BEST,Skin-Soothing,"Any ingredient that soothes and improves signs of sensitivity.
Interestingly, most antioxidants function as soothing ingredients because one of the skin’s responses to environmental damage is sensitivity, visible signs of stress on skin's surface, and redness. These ingredients go a long way toward helping the skin deal with its daily struggle against environmental damage and seasonal environmental extremes."
sorbic acid,GOOD,Preservatives,"Preservative derived from mountain ash berries or manufactured synthetically. Sorbic acid is used in many products, including several foods and even in contact lens solutions."
sorbitan oleate,GOOD,Thickeners/Emulsifiers,Synthetic or animal-derived ingredient used as an emulsifier and cleansing agent.
sorbitan sesquioleate,GOOD,Thickeners/Emulsifiers,none
sorbitan stearate,GOOD,Thickeners/Emulsifiers,Emulsifier used to thicken and stabilize cosmetics formulations.
sorbitol,GOOD,Thickeners/Emulsifiers,"Can be created synthetically or derived from natural sources. Similar to glycerin, it is a hydrating ingredient, thickening agent, and slip agent."
soy extract,BEST,Skin-Soothing,"A natural, potent antioxidant, restoring, and soothing agent for skin that is derived from soybeans. Soy extract also has research showing it can improve the look of an uneven skin tone and visible signs of aging due to years of environmental exposure.
References for this information:
International Journal of Cosmetic Science, April 2013, pages 136-142
British Journal of Pharmacology Society, February 2012, pages 994-1,005
Journal of Clinical and Aesthetic Dermatology, January 2009, pages 36-40
Photochemistry and Photobiology, May-June 2005, pages 581-587
Journal of Cosmetic Science, September-October 2004, pages 473-479"
soy isoflavones,BEST,Skin-Soothing,none
soy oil,BEST,Skin-Soothing,Emollient oil similar to all non-fragrant plant oils in terms of its benefits for skin.
spearmint oil,POOR,Plant Extracts,"Fragrant, volatile oil that can cause skin sensitivity, though has a lower incidence of doing so compared with other types of mint and their derivatives."
SPF,BEST,Miscellaneous,none
sphingolipids,BEST,Skin-Restoring,"Sphingolipids are complex, long chain lipids (fats) that function as skin-replenishing and conditioning ingredients.
References for this information:
http://lipidlibrary.aocs.org/lipids/introsph/index.htm
Progress in Lipid Research, January 2013, pages 141-164
Skin Therapy Letter, July 2012, pages 6-9"
Spiraea ulmaria,BEST,Skin-Soothing,none
spirulina,GOOD,Antioxidants,none
squalane,BEST,Hydration,"The saturated portion of emollient ingredient squalene, which is a natural component of human skin sebum (oil). It is a wonderfully moisturizing ingredient as well as being a source of replenishing fatty acids and antioxidants. 
Note that because it’s highly saturated, squalane is less prone to breaking down in the presence of air than less-saturated squalene. 
References for this information:
The Journal of Clinical and Aesthetic Dermatology, June 2014, pages 25-32
Advances in Food and Nutrition Research, Volume 65, 2012, pages 223-233"
squalene,BEST,Antioxidants,"Oil derived from shark liver or from plants (usually olives). Its derivative squalane is a natural component of skin and a good emollient that has antioxidant properties.
References for this information:
Free Radical Research, April 2002, pages 471-477
The Lancet: Oncology, October 2000, pages 107-112"
St. John's wort,GOOD,Antioxidants,"Plant that contains several components that can cause a negative reaction on skin when it is exposed to sunlight; however, this is a bigger concern when St. John's wort is taken orally. Like most plants, it's a rich source of antioxidants.
References for this information:
International Journal of Toxicology, Volume 20, 2001, Supplement pages 31-39
Hautarzt, April 1997, pages 249-52.
American Herbal Pharmacopoeia, 1997, pages 1-32"
star anise,POOR,Antioxidants,none
steapyrium chloride,GOOD,Miscellaneous,Synthetic antistatic agent used in hair-care products.
stearalkonium chloride,GOOD,Miscellaneous,Antistatic ingredient used in hair-care products to control flyaways and aid in helping a brush or comb get through hair. This ingredient is usually synthetic but can also be animal-derived.
stearalkonium hectorite,GOOD,Miscellaneous,Used as a suspending agent.
stearates,GOOD,Thickeners/Emulsifiers,none
steareth-20,GOOD,Cleansing Agents,"Derived from the benign fatty ingredient stearyl alcohol, this functions primarily as a surfactant but is also used to stabilize products, especially if they contain active ingredients in an emulsion."
stearic acid,GOOD,Thickeners/Emulsifiers,"Fatty acid used as an emollient and emulsifier. It has been shown to protect skin's surface against water loss and help shore up skin's protective barrier. Stearic acid may be synthetic or animal-derived. 
References for this information:
International Journal of Cosmetic Science, August 2013, pages 337-345
International Journal of Toxicology, Volume 24, 2005, Supplement 3, pages 65-74
International Journal of Pharmaceutics, February 2000, pages 189-195"
stearyl alcohol,GOOD,Thickeners/Emulsifiers,"Fatty alcohol used as an emollient and to help keep other ingredients intact in a formulation. Not to be confused with the drying, irritating types of alcohol such as SD alcohol or denatured alcohol."
stearyl dimethicone,GOOD,Silicones,"Stearyl dimethicone is a synthetyic skin-conditioning agent that's a siloxane polymer. It add opacity and a silky feel to cosmetic products. This ingredient is considered safe as used in cosmetics.
Reference for this information:
International Journal of Toxicology, Volume 22, Supplement, 2003, pages 11-35"
stearyl glycyrrhetinate,BEST,Skin-Soothing,"The fatty acid form of the soothing ingredient glycyrrhetinic acid, which is derived from licorice."
stearyl methicone,GOOD,Silicones,Silicone polymer used as a skin-conditioning or occlusive agent.
stearyl stearate,GOOD,Emollients,"A plant-based wax prepared with natural fatty acids combined with synthetic fatty alcohols. Functions as an emollient, occlusive, skin-conditioning agent, and texture enhancer. This ingredient is considered safe for use in cosmetics.
Reference for this information:
International Journal of Toxicology, September-October 2012, pages 141S-146S"
styrax benzoin,POOR,Preservatives,none
styrene/acrylates copolymer,GOOD,Film-Forming/Holding Agents,Synthetic polymer.
sucrose,GOOD,Skin-Replenishing,Monosaccharide that has hydrating properties for skin.
sugarcane extract,AVERAGE,Plant Extracts,"Ingredients like sugarcane extract, fruit extracts, mixed fruit extracts, and milk solids may claim an association with AHAs, but they are not the same thing nor do they have the same beneficial effect on skin. While glycolic acid can indeed be derived from sugarcane, if you assume that sugarcane will net you the same result as glycolic acid, that would be like assuming you could write on a tree the way you can write on paper.
Wood is certainly where paper begins, but paper wouldn’t exist if the wood didn’t undergo complex mechanical and chemical processes. Similarly, the original forms of these extracts do not have the same effect as the ingredients that are derived from them. The same is true for lactic acid, derived from milk. There is a vast difference between the extracted, pure ingredient and the original form of the source material."
sulfates,GOOD,Cleansing Agents,"In cosmetics, this large group of ingredients is used mainly as cleansing agents in skincare and hair-care products; they include sodium lauryl sulfate, ammonium lauryl sulfate, and sodium laureth sulfate. Many consumers are concerned of sulfates in their cosmetics products because of widespread misinformation. Sulfates are not a problem, but once organizations and companies build up fears among consumers about certain cosmetics ingredients there’s almost no going back, the damage is done.
In reality there’s absolutely no research showing that sulfates are a problem in skincare or hair-care products, other than causing sensitivity, but that is also true for the sulfate-free cleansing agents that some cosmetics companies advertise and sell. And, whether or not a cleansing agent will cause sensitivity depends on the amount of sulfate and on other ingredients present in a specific formula.
Following are some of the most typical unsupported comments about sulfates: “Sulfate-free shampoos and cleansers are better for hair and skin.” No research has shown that to be even remotely the case. Sulfates are supposed to be terribly drying and damaging to hair, when in fact they function no differently from the cleansing agents in sulfate-free shampoos. Almost every company that touts the fact that they don’t contain sulfates do use detergent cleansing agents such as sodium lauryl sulfoacetate, disodium laureth sulfosuccinate, sodium lauroyl sarcosinate, cocamidopropyl hydroxysultaine, sodium cocoyl isethionate, cocamidopropylamine oxide, and sodium methyl 2-sulfolaurate.
Why those are supposedly any better for skin is never explained, and no research is ever cited—because none exists. Sometimes these companies list those ingredients as being derived from or coming from coconut to make them sound natural and, by association, better for skin—but they all end up being primarily synthetic. That doesn’t make them bad in any way; it’s just that the claims are completely disingenuous. What you need to know is that both the sulfate-free cleansing agents and the sulfate versions can be drying and sensitizing depending on the formulation and/or your skin’s own reaction. All of these cleansing agents remove oil and the gunk from styling products, which is exactly what a shampoo should do.
“Sulfates in cleansers are cheap.” This one is true, but so what? Lots of ingredients, both natural and synthetic, are cheap, others are expensive, which has absolutely nothing to do with quality or efficacy. The first ingredient in sulfate-free shampoos is water (about 90% water) and no other cosmetic ingredient is cheaper than that!
“Sulfates are used in floor cleaners and are corrosive.” This can be true, when used in large amounts and when left on surfaces over time, but so what? Salt is used to melt ice on the roadway, but it also rusts cars, which doesn’t make salt bad; it just depends on how much you use and how long you leave it on something. This is also true for the alternative sulfate-free shampoos and cleansers as well; they can also be corrosive over time depending on how much is used and how long it is left on.
“Sulfates can be sensitizing.” This can absolutely be true, but again, so what? As a general category, sulfates are not sensitizing when used in appropriate amounts in shampoos and cleansers and the same is true for sulfate-free alternative cleansing agents. All of the research about sulfates being sensitizing are from patch tests where a concentration is left on skin under a bandage for 24 hours, which is not how a cleanser or shampoo is used. Sodium lauryl sulfate is considered one of the more sensitizing cleansing agents and we recommend avoiding it when it is high up on the ingredient list, but that’s NOT because it’s a sulfate; rather, it’s because of its interaction with skin."
sulfur,POOR,Sensitizing,"Can be a potent skin sensitizer. Sulfur also has a high pH, which can encourage the growth of bacteria on skin.
Sulfur has more negatives than positives for skin, and its use to treat skin concerns should be seen as a last resort if other ingredients (such as benzoyl peroxide, azelaic acid, and salicylic acid) don't work as well as you had hoped.
Reference for this information:
Journal of Clinical and Aesthetic Dermatology, May 2012, pages 32-40"
sunflower seed oil,BEST,Plant Extracts,"Non-volatile, non-fragrant plant oil used as an emollient in cosmetics. Sunflower seed oil has the ability to help replenish and soothe skin. It’s a rich source of fatty acids skin can use, including linoleic acid, and is excellent for dry skin.
References for this information:
Pediatric Dermatology, January-February 2013, pages 42-50
Dermatology, October 2014, pages 230-239
The Journal of Investigative Dermatology, April 1980, pages 220-223"
sun protection factor,BEST,Miscellaneous,"Most commonly seen as SPF followed by a number, it is a rating system assigned to a product that identifies the amount of time it can protect the skin from sunburn or from turning pink or red when exposed to sun. In the United States, SPF ratings are regulated by the Fod & Drug Administration. Because sunburn results from UVB radiation, not UVA radiation, SPF is primarily a measure of UVB protection; however, sunscreens rated for broad spectrum protection can protect from UVA rays, too."
superoxide dismutase,BEST,Antioxidants,"Enzyme considered a potent antioxidant in humans.
Reference for this information:
Dermato Endocrinology, July 2012, pages 232-235"
surfactant,GOOD,Cleansing Agents,"Short term for surface active agent. Surfactants degrease and emulsify oils and fats and suspend soil, allowing them to be washed away. Surfactants are used in most forms of cleansers and many are considered gentle and effective for most skin types. There are several types of surfactants that can be drying and sensitizing for skin. When those are the main ingredients in a facial cleanser, body wash, or shampoo, they should be avoided; the most common among drying, sensitizing surfactants is sodium lauryl sulfate. The similar-sounding ingredient sodium laureth sulfate is fine.
References for this information:
International Journal of Toxicology, July 2010, pages 151S-161S
Journal of Cosmetic Science, March 2009, pages 143-151
Journal of the American Academy of Dermatology, January 2005, pages 125-132
International Journal of Cosmetic Science, June 1999, pages 371-382"
sweet almond,GOOD,Emollients,"Most often used in its oil form, this ingredient is expressed from almonds. Also used as an extract, protein, powder, and various forms that utilize fatty acids from almond oil. The non-fragrant oil is considered safe for use and functions as an emollient."
sweet almond oil,GOOD,Emollients,"Emollient, non-fragrant plant oil."
Symphytum officinale extract,POOR,Skin-Soothing,none
synthetic beeswax,GOOD,Thickeners/Emulsifiers,A synthetic (hence the name) form of beeswax composed of a mixture of alcohol esters.
synthetic wax,GOOD,Miscellaneous,A wax derived from a mixture of various oils. It functions as a binding and stabilizing agent and can help enhance a product's texture.
Szechuan peppercorn,POOR,Plant Extracts,"From a plant native to Szechuan Province in China. It grows on trees, and so differs from black pepper, which grows on climbing vines. Used extensively in Szechuan cooking, Szechuan pepper is known for the “numbing” sensation it produces on the tongue."
